username,tweet_url,full_text
TerongKun,https://x.com/TerongKun/status/1788431094125322433,@MuhadklyAcho Gausah sok deh orang metropolitan pake alasan belibet kek gitu itu angka rata-rata 3.5k langkah dicarry sama orang kabupaten
esdaogan,https://x.com/esdaogan/status/1796063547148902619,@kumparan Lihat hp second aja ga semua orang minat
SelebtwitMobil,https://x.com/SelebtwitMobil/status/1789910930345664851,@investorgabut Brio tiap 3 bulan naik. Neta tiap 3 bulan turun. Tebak tahun berapa Brio lb mahal dr Neta
AzzamKhairul10,https://x.com/AzzamKhairul10/status/1786393814493765728,@AzzamIzzulhaq Ada yg lebih canggih punya banyak Indonesia...... Belum di buT sudah 6000 orang yg pesan.... Tak terlihat dengan kasat mata.... Selalu dinanti setiap pemilu..... MOBIL ESEMKA.......
damariradat,https://x.com/damariradat/status/1744285483507839012,Also Jokowi: subsidi mobil dan motor listrik
agak_kafir,https://x.com/agak_kafir/status/1789903239405621296,@investorgabut Tapi opini ini untuk yang mau beli mobil ke-2 dan selanjutnya ya pack
RifqyKeane,https://x.com/RifqyKeane/status/1793462939544076496,@NOTASLIMBOY Dengar kabar ada yy kasi garansi baterai 5 tahunan gitu bang. Yg hybrid. Ntah betul.
Kabar_Tangsel,https://x.com/Kabar_Tangsel/status/1785776515571159193,Kesiapan SPKLU PLN Diapresiasi Pemudik https://t.co/naGXMLCkgn
gadingnstn,https://x.com/gadingnstn/status/1789885953470861418,@investorgabut kalo di Indonesia ttp harus punya mobil BBM atau alternatif hybrid. susah ngandelin mobil EV doang terutama utk jalan jauh.
MuhammadZuhriii,https://x.com/MuhammadZuhriii/status/1789421199404994599,@NOTASLIMBOY Spill harganya @ridwanhr kalau emang pada banting harga
JajangRidwanK,https://x.com/JajangRidwanK/status/1760912322951066003,@sociotalker Tolong tambahkan data ttg apa yg dihasilkan smelter² Ni di Ina spy nyambung dgn pabrik sendok garpu nya krn banyak masyrkt msh menyangka kl baterai ev itu bisa dibikin langsung dari Ni yg di hasilkan smelter² di Ina.
xojolx,https://x.com/xojolx/status/1788423613521317889,@MuhadklyAcho Dan malasnya mereka buat jalan kaki adalah rejeki bagi supir angkot ojol kang becak Pohon-pohon rindang bukannya dirapihin malah ditebang dibabat habis. Gimana gak tambah panas tuh Trotoar dikuasai PKL dan parkiran.
tanyakanrl,https://x.com/tanyakanrl/status/1748211117586075981, di masa depan mungkin gak kalau entar dijalan-jalan rata rata pakai mobil listrik? https://t.co/x08eSnucex
noboncilik,https://x.com/noboncilik/status/1790390233349124232,@lhayesno beli kursi listrik aja buat nyetrum maling.
Beritasatu,https://x.com/Beritasatu/status/1787717121776239034,Perbedaan Jenis Mobil Listrik Baterai Hybrid PHEV dan FCEV #BNetwork https://t.co/ChA3DA2DNK
firamaw,https://x.com/firamaw/status/1752595009726296382,@wisnusuryapr Negara gagal ini
RedSemvack,https://x.com/RedSemvack/status/1754024160932806998,Betul... Kalau mau hemat jangan maksa bikin proyek² yg tdk ada urgensinya samasekali Ikn kereta cepat subsidi mobil listrik jalan tol dlsb Yg menikmati proyek orang berduit rakyat jelata ikut nanggung semua hutangnya
TheDent10558027,https://x.com/TheDent10558027/status/1789159993402601580,@NOTASLIMBOY Bentar lagi punah kayanya 
antarabiz,https://x.com/antarabiz/status/1783815938800021942,PLN siapkan SPKLU untuk kendaraan listrik delegasi World Water Forum https://t.co/ojRih3MeMh
RiyantAriel,https://x.com/RiyantAriel/status/1760813765459939475,@sociotalker Wah luhut emang top
liputan6dotcom,https://x.com/liputan6dotcom/status/1782033311856308320,MIND ID Sinergi dengan IBC Pasok Bahan Baku Baterai hingga Mobil Listrik https://t.co/jgLRwGOCTW #Bisnis
NOTASLIMBOY,https://x.com/NOTASLIMBOY/status/1766727783081001045,Liputan ABC tentang dampak lain dari implementasi mobil/motor listrik. Reportase jurnalis @sweethellena https://t.co/0UBrxcUntV
Mmmadaaa,https://x.com/Mmmadaaa/status/1762591485537755426,Yg mau dipotong subsidinya - listrik - bbm - biaya pendidikan Yg mau dikasih subsidi - Mobil listrik - Sawit Mind-blowing sekali pemerentah ini 
KelfinBuzz,https://x.com/KelfinBuzz/status/1786830625972064512,@AzzamIzzulhaq Comac mah emang udah dari lama
rang_casper,https://x.com/rang_casper/status/1750381314833027261,@detikcom Opung kan sangat tahu tesla luar dalam Karena ketidakmampuan tenaga negeri konoha maka investasi tesla di kasih ke india
gilanguage,https://x.com/gilanguage/status/1788443341518172601,@MuhadklyAcho Kasih tau yang 10rb Yangg @pearlffect
NugrahaAulia15,https://x.com/NugrahaAulia15/status/1788423547297333560,@MuhadklyAcho Kalau alasan gue cuma satu. PANAS.
KontanNews,https://x.com/KontanNews/status/1761892587621978509,Inilah Teknologi Canggih Mobil Listrik BYD Cek Harga Mobil BYD Seal Dolphin Atto https://t.co/iuJBCacHw5 #MobilListrik
officialntv_,https://x.com/officialntv_/status/1760162970494210227,Ford Pangkas Harga Mobil Listrik Mustang Mach-E hingga Rp126 Juta https://t.co/Gbt6gkIop5 #otomotif #Ford #ElectricVehicles #MobilListrik #MustangMachE #Automotive
IDNTimesSulsel,https://x.com/IDNTimesSulsel/status/1784822185288511805,Pengalaman Mengisi Daya Mobil Listrik di SPKLU PLN: Mudah dan Cepat https://t.co/s3J51iAAZO
HMMurah3,https://x.com/HMMurah3/status/1795054733352165632,NKRI Harga Mati Konglomerat Sawit Dan Mobil Listrik Diberikan Subsidi ? Pupuk Subsidi Petani Dikurangi
YandraD31,https://x.com/YandraD31/status/1795021530289578240,Mau Tanya nih pak Luhut dan pak Erick ! kalo bawa mobil listrik gak ada SIM ntar yang nilang polisi atau PLN sih ? https://t.co/erBFlzStuD
jpnncom,https://x.com/jpnncom/status/1758698979632836638,Chery Berikan Garansi Baterai Seumur Hidup untuk Mobil Listrik Omoda E5 https://t.co/tYlVkapGYu
_lezef,https://x.com/_lezef/status/1789912690279796895,@investorgabut Jangan bandingin sama Malaysia yang bebas tarif impor EV wkwkwkwk
NasiAking234,https://x.com/NasiAking234/status/1775815862370660486,@detikcom Puasa flexing dulu
cnbcindonesia,https://x.com/cnbcindonesia/status/1757424947222155273,Pemerintah Jor-joran Kasih Subsidi Mobil Listrik Ternyata Demi Ini https://t.co/BOCH34tlb6
SigitPr67882204,https://x.com/SigitPr67882204/status/1767073873324061121,@_Banyoe $10 .... untungnya $990
